team,player,position,ppg,rpg,apg
Denver Nuggets,Nikola Jokic,C,27.9,12.9,10.8
Denver Nuggets,Jamal Murray,PG,25.5,4.4,7.2
Denver Nuggets,Aaron Gordon,PF,16.6,5.9,2.5
Denver Nuggets,Peyton Watson,SF,14.8,4.9,2.1
Denver Nuggets,Christian Braun,SG,11.6,4.7,2.8
Minnesota Timberwolves,Anthony Edwards,SG,29.3,5.1,3.7
Minnesota Timberwolves,Julius Randle,PF,21.0,6.8,5.1
Minnesota Timberwolves,Jaden McDaniels,SF,14.8,4.2,2.7
Minnesota Timberwolves,Rudy Gobert,C,11.1,11.5,1.7
Minnesota Timberwolves,Naz Reid,C,13.6,6.3,2.3
